time=550, port=1, receive=1

time=560, port=1, receive=1

time=570, port=1, receive=1

time=580, port=1, receive=1

time=590, port=1, receive=1

time=600, port=1, receive=1

time=610, port=1, receive=1

time=620, port=1, receive=1

time=630, port=1, receive=1

time=640, port=1, receive=1

time=650, port=1, receive=1

time=660, port=1, receive=1

time=670, port=1, receive=1

time=680, port=1, receive=1

time=690, port=1, receive=1

time=700, port=1, receive=1

time=710, port=1, receive=1

time=720, port=1, receive=0

time=730, port=1, receive=1

time=740, port=1, receive=1

time=750, port=1, receive=1

time=760, port=1, receive=0

time=770, port=1, receive=1

time=780, port=1, receive=1

time=790, port=1, receive=0

time=800, port=1, receive=0

time=810, port=1, receive=0

time=820, port=1, receive=0

time=830, port=1, receive=0

time=840, port=1, receive=0

time=850, port=1, receive=0

time=860, port=1, receive=1

time=870, port=1, receive=0

time=880, port=1, receive=0

time=890, port=1, receive=0

time=900, port=1, receive=0

time=910, port=1, receive=1

time=920, port=1, receive=0

time=930, port=1, receive=0

time=940, port=1, receive=0

time=950, port=1, receive=0

time=960, port=1, receive=0

time=970, port=1, receive=0

time=980, port=1, receive=0

time=990, port=1, receive=0

time=1000, port=1, receive=0

time=1010, port=1, receive=1

time=1020, port=1, receive=0

time=1030, port=1, receive=0

time=1040, port=1, receive=0

time=1050, port=1, receive=0

time=1060, port=1, receive=0

time=1070, port=1, receive=1

time=1080, port=1, receive=0

time=1090, port=1, receive=1

time=1100, port=1, receive=0

time=1110, port=1, receive=0

time=1120, port=1, receive=0

time=1130, port=1, receive=0

time=1140, port=1, receive=1

time=1150, port=1, receive=1

time=1160, port=1, receive=0

time=1170, port=1, receive=1

time=1180, port=1, receive=1

time=1190, port=1, receive=0

time=1200, port=1, receive=0

time=1210, port=1, receive=0

time=1220, port=1, receive=1

time=1230, port=1, receive=1

time=1240, port=1, receive=0

time=1250, port=1, receive=0

time=1260, port=1, receive=1

time=1270, port=1, receive=0

time=1280, port=1, receive=0

time=1290, port=1, receive=0

time=1300, port=1, receive=1

time=1310, port=1, receive=1

time=1320, port=1, receive=0

time=1330, port=1, receive=1

time=1340, port=1, receive=0

time=1350, port=1, receive=0

time=1360, port=1, receive=0

time=1370, port=1, receive=0

time=1380, port=1, receive=0

time=1390, port=1, receive=1

time=1400, port=1, receive=0

time=1410, port=1, receive=1

time=1420, port=1, receive=0

time=1430, port=1, receive=0

time=1440, port=1, receive=0

time=1450, port=1, receive=0

time=1460, port=1, receive=0

time=1470, port=1, receive=0

time=1480, port=1, receive=1

time=1490, port=1, receive=1

time=1500, port=1, receive=0

time=1510, port=1, receive=0

time=1520, port=1, receive=1

time=1530, port=1, receive=1

time=1540, port=1, receive=1

time=1550, port=1, receive=1

time=1560, port=1, receive=1

time=1570, port=1, receive=0

time=1580, port=1, receive=0

time=1590, port=1, receive=0

time=1600, port=1, receive=0

time=1610, port=1, receive=1

time=1620, port=1, receive=1

time=1630, port=1, receive=1

time=1640, port=1, receive=1

time=1650, port=1, receive=0

time=1660, port=1, receive=0

time=1670, port=1, receive=1

time=1680, port=1, receive=0

time=1690, port=1, receive=0

time=1700, port=1, receive=1

time=1710, port=1, receive=1

time=1720, port=1, receive=1

time=1730, port=1, receive=0

