time=14150, port=1, receive=1

time=14160, port=1, receive=1

time=14170, port=1, receive=1

time=14180, port=1, receive=1

time=14190, port=1, receive=1

time=14200, port=1, receive=1

time=14210, port=1, receive=1

time=14220, port=1, receive=1

time=14230, port=1, receive=1

time=14240, port=1, receive=1

time=14250, port=1, receive=1

time=14260, port=1, receive=1

time=14270, port=1, receive=1

time=14280, port=1, receive=1

time=14290, port=1, receive=1

time=14300, port=1, receive=1

time=14310, port=1, receive=1

time=14320, port=1, receive=0

time=14330, port=1, receive=1

time=14340, port=1, receive=0

time=14350, port=1, receive=1

time=14360, port=1, receive=0

time=14370, port=1, receive=1

time=14380, port=1, receive=0

time=14390, port=1, receive=0

time=14400, port=1, receive=0

time=14410, port=1, receive=0

time=14420, port=1, receive=0

time=14430, port=1, receive=0

time=14440, port=1, receive=1

time=14450, port=1, receive=0

time=14460, port=1, receive=0

time=14470, port=1, receive=0

time=14480, port=1, receive=0

time=14490, port=1, receive=0

time=14500, port=1, receive=0

time=14510, port=1, receive=1

time=14520, port=1, receive=0

time=14530, port=1, receive=0

time=14540, port=1, receive=0

time=14550, port=1, receive=0

time=14560, port=1, receive=0

time=14570, port=1, receive=0

time=14580, port=1, receive=0

time=14590, port=1, receive=0

time=14600, port=1, receive=0

time=14610, port=1, receive=1

time=14620, port=1, receive=0

time=14630, port=1, receive=0

time=14640, port=1, receive=0

time=14650, port=1, receive=0

time=14660, port=1, receive=0

time=14670, port=1, receive=1

time=14680, port=1, receive=0

time=14690, port=1, receive=1

time=14700, port=1, receive=0

time=14710, port=1, receive=0

time=14720, port=1, receive=0

time=14730, port=1, receive=0

time=14740, port=1, receive=1

time=14750, port=1, receive=1

time=14760, port=1, receive=0

time=14770, port=1, receive=1

time=14780, port=1, receive=1

time=14790, port=1, receive=0

time=14800, port=1, receive=0

time=14810, port=1, receive=0

time=14820, port=1, receive=1

time=14830, port=1, receive=1

time=14840, port=1, receive=0

time=14850, port=1, receive=0

time=14860, port=1, receive=1

time=14870, port=1, receive=0

time=14880, port=1, receive=0

time=14890, port=1, receive=0

time=14900, port=1, receive=1

time=14910, port=1, receive=1

time=14920, port=1, receive=0

time=14930, port=1, receive=1

time=14940, port=1, receive=0

time=14950, port=1, receive=0

time=14960, port=1, receive=0

time=14970, port=1, receive=0

time=14980, port=1, receive=0

time=14990, port=1, receive=1

time=15000, port=1, receive=0

time=15010, port=1, receive=1

time=15020, port=1, receive=0

time=15030, port=1, receive=0

time=15040, port=1, receive=0

time=15050, port=1, receive=0

time=15060, port=1, receive=0

time=15070, port=1, receive=0

time=15080, port=1, receive=1

time=15090, port=1, receive=1

time=15100, port=1, receive=0

time=15110, port=1, receive=0

time=15120, port=1, receive=1

time=15130, port=1, receive=1

time=15140, port=1, receive=1

time=15150, port=1, receive=1

time=15160, port=1, receive=0

time=15170, port=1, receive=1

time=15180, port=1, receive=0

time=15190, port=1, receive=0

time=15200, port=1, receive=0

time=15210, port=1, receive=0

time=15220, port=1, receive=0

time=15230, port=1, receive=0

time=15240, port=1, receive=0

time=15250, port=1, receive=0

time=15260, port=1, receive=1

time=15270, port=1, receive=1

time=15280, port=1, receive=1

time=15290, port=1, receive=0

time=15300, port=1, receive=1

time=15310, port=1, receive=0

time=15320, port=1, receive=0

time=15330, port=1, receive=0

time=15340, port=1, receive=0

time=15350, port=1, receive=0

time=15360, port=1, receive=0

time=15370, port=1, receive=0

time=15380, port=1, receive=0

time=15390, port=1, receive=0

time=15400, port=1, receive=0

time=15410, port=1, receive=1

time=15420, port=1, receive=0

time=15430, port=1, receive=null, cause=data_ended

time=23400, port=1, receive=1

time=23410, port=1, receive=1

time=23420, port=1, receive=1

time=23430, port=1, receive=1

time=23440, port=1, receive=1

time=23450, port=1, receive=1

time=23460, port=1, receive=1

time=23470, port=1, receive=1

time=23480, port=1, receive=1

time=23490, port=1, receive=1

time=23500, port=1, receive=1

time=23510, port=1, receive=1

time=23520, port=1, receive=1

time=23530, port=1, receive=1

time=23540, port=1, receive=1

time=23550, port=1, receive=1

time=23560, port=1, receive=1

time=23570, port=1, receive=0

time=23580, port=1, receive=1

time=23590, port=1, receive=0

time=23600, port=1, receive=1

time=23610, port=1, receive=0

time=23620, port=1, receive=1

time=23630, port=1, receive=0

time=23640, port=1, receive=0

time=23650, port=1, receive=0

time=23660, port=1, receive=0

time=23670, port=1, receive=0

time=23680, port=1, receive=0

time=23690, port=1, receive=0

time=23700, port=1, receive=0

time=23710, port=1, receive=1

time=23720, port=1, receive=0

time=23730, port=1, receive=0

time=23740, port=1, receive=0

time=23750, port=1, receive=0

time=23760, port=1, receive=1

time=23770, port=1, receive=0

time=23780, port=1, receive=0

time=23790, port=1, receive=0

time=23800, port=1, receive=0

time=23810, port=1, receive=0

time=23820, port=1, receive=0

time=23830, port=1, receive=0

time=23840, port=1, receive=0

time=23850, port=1, receive=0

time=23860, port=1, receive=1

time=23870, port=1, receive=0

time=23880, port=1, receive=0

time=23890, port=1, receive=0

time=23900, port=1, receive=0

time=23910, port=1, receive=0

time=23920, port=1, receive=1

time=23930, port=1, receive=0

time=23940, port=1, receive=1

time=23950, port=1, receive=0

time=23960, port=1, receive=0

time=23970, port=1, receive=0

time=23980, port=1, receive=0

time=23990, port=1, receive=1

time=24000, port=1, receive=1

