time=67510, port=1, receive=1

time=67520, port=1, receive=1

time=67530, port=1, receive=1

time=67540, port=1, receive=1

time=67550, port=1, receive=1

time=67560, port=1, receive=1

time=67570, port=1, receive=1

time=67580, port=1, receive=1

time=67590, port=1, receive=1

time=67600, port=1, receive=1

time=67610, port=1, receive=1

time=67620, port=1, receive=1

time=67630, port=1, receive=1

time=67640, port=1, receive=1

time=67650, port=1, receive=1

time=67660, port=1, receive=1

time=67670, port=1, receive=0

time=67680, port=1, receive=0

time=67690, port=1, receive=1

time=67700, port=1, receive=0

time=67710, port=1, receive=0

time=67720, port=1, receive=0

time=67730, port=1, receive=1

time=67740, port=1, receive=0

time=67750, port=1, receive=0

time=67760, port=1, receive=1

time=67770, port=1, receive=0

time=67780, port=1, receive=1

time=67790, port=1, receive=0

time=67800, port=1, receive=1

time=67810, port=1, receive=0

time=67820, port=1, receive=1

time=67830, port=1, receive=0

time=67840, port=1, receive=0

time=67850, port=1, receive=0

time=67860, port=1, receive=0

time=67870, port=1, receive=1

time=67880, port=1, receive=1

time=67890, port=1, receive=0

time=67900, port=1, receive=0

time=67910, port=1, receive=0

time=67920, port=1, receive=0

time=67930, port=1, receive=0

time=67940, port=1, receive=0

time=67950, port=1, receive=0

time=67960, port=1, receive=0

time=67970, port=1, receive=1

time=67980, port=1, receive=0

time=67990, port=1, receive=1

time=68000, port=1, receive=1

time=68010, port=1, receive=0

time=68020, port=1, receive=0

time=68030, port=1, receive=1

time=68040, port=1, receive=0

time=68050, port=1, receive=0

time=68060, port=1, receive=0

time=68070, port=1, receive=0

time=68080, port=1, receive=0

time=68090, port=1, receive=1

time=68100, port=1, receive=1

time=68110, port=1, receive=0

time=68120, port=1, receive=1

time=68130, port=1, receive=1

time=68140, port=1, receive=1

time=68150, port=1, receive=1

time=68160, port=1, receive=0

time=68170, port=1, receive=0

time=68180, port=1, receive=0

time=68190, port=1, receive=0

time=68200, port=1, receive=1

time=68210, port=1, receive=0

time=68220, port=1, receive=0

time=68230, port=1, receive=1

time=68240, port=1, receive=0

time=68250, port=1, receive=1

time=68260, port=1, receive=1

