time=32310, port=2, receive=1

time=32320, port=2, receive=1

time=32330, port=2, receive=1

time=32340, port=2, receive=1

time=32350, port=2, receive=1

time=32360, port=2, receive=1

time=32370, port=2, receive=1

time=32380, port=2, receive=1

time=32390, port=2, receive=1

time=32400, port=2, receive=1

time=32410, port=2, receive=1

time=32420, port=2, receive=1

time=32430, port=2, receive=1

time=32440, port=2, receive=1

time=32450, port=2, receive=1

time=32460, port=2, receive=1

time=32470, port=2, receive=0

time=32480, port=2, receive=0

time=32490, port=2, receive=1

time=32500, port=2, receive=0

time=32510, port=2, receive=0

time=32520, port=2, receive=0

time=32530, port=2, receive=1

time=32540, port=2, receive=0

time=32550, port=2, receive=0

time=32560, port=2, receive=1

time=32570, port=2, receive=0

time=32580, port=2, receive=0

time=32590, port=2, receive=0

time=32600, port=2, receive=1

time=32610, port=2, receive=0

time=32620, port=2, receive=0

time=32630, port=2, receive=0

time=32640, port=2, receive=0

time=32650, port=2, receive=0

time=32660, port=2, receive=0

time=32670, port=2, receive=1

time=32680, port=2, receive=0

time=32690, port=2, receive=0

time=32700, port=2, receive=0

time=32710, port=2, receive=0

time=32720, port=2, receive=0

time=32730, port=2, receive=0

time=32740, port=2, receive=0

time=32750, port=2, receive=0

time=32760, port=2, receive=0

time=32770, port=2, receive=1

time=32780, port=2, receive=0

time=32790, port=2, receive=0

time=32800, port=2, receive=0

time=32810, port=2, receive=0

time=32820, port=2, receive=0

time=32830, port=2, receive=1

time=32840, port=2, receive=0

time=32850, port=2, receive=1

time=32860, port=2, receive=0

time=32870, port=2, receive=0

time=32880, port=2, receive=0

time=32890, port=2, receive=0

time=32900, port=2, receive=1

time=32910, port=2, receive=1

time=32920, port=2, receive=0

time=32930, port=2, receive=1

time=32940, port=2, receive=1

time=32950, port=2, receive=0

time=32960, port=2, receive=0

time=32970, port=2, receive=0

time=32980, port=2, receive=1

time=32990, port=2, receive=1

time=33000, port=2, receive=0

time=33010, port=2, receive=0

