time=28090, port=1, receive=1

time=28100, port=1, receive=1

time=28110, port=1, receive=1

time=28120, port=1, receive=1

time=28130, port=1, receive=1

time=28140, port=1, receive=1

time=28150, port=1, receive=1

time=28160, port=1, receive=1

time=28170, port=1, receive=1

time=28180, port=1, receive=1

time=28190, port=1, receive=1

time=28200, port=1, receive=1

time=28210, port=1, receive=1

time=28220, port=1, receive=1

time=28230, port=1, receive=1

time=28240, port=1, receive=1

time=28250, port=1, receive=0

time=28260, port=1, receive=0

time=28270, port=1, receive=0

time=28280, port=1, receive=0

time=28290, port=1, receive=0

time=28300, port=1, receive=0

time=28310, port=1, receive=0

time=28320, port=1, receive=0

time=28330, port=1, receive=0

time=28340, port=1, receive=0

time=28350, port=1, receive=1

time=28360, port=1, receive=1

time=28370, port=1, receive=0

time=28380, port=1, receive=0

time=28390, port=1, receive=1

time=28400, port=1, receive=1

time=28410, port=1, receive=0

time=28420, port=1, receive=0

time=28430, port=1, receive=0

time=28440, port=1, receive=0

time=28450, port=1, receive=1

time=28460, port=1, receive=0

time=28470, port=1, receive=0

time=28480, port=1, receive=0

time=28490, port=1, receive=0

time=28500, port=1, receive=0

time=28510, port=1, receive=0

time=28520, port=1, receive=0

time=28530, port=1, receive=0

time=28540, port=1, receive=0

time=28550, port=1, receive=1

time=28560, port=1, receive=0

time=28570, port=1, receive=0

time=28580, port=1, receive=0

time=28590, port=1, receive=0

time=28600, port=1, receive=0

time=28610, port=1, receive=1

time=28620, port=1, receive=0

time=28630, port=1, receive=1

time=28640, port=1, receive=0

time=28650, port=1, receive=0

time=28660, port=1, receive=0

time=28670, port=1, receive=0

time=28680, port=1, receive=1

time=28690, port=1, receive=1

time=28700, port=1, receive=0

time=28710, port=1, receive=1

time=28720, port=1, receive=1

time=28730, port=1, receive=0

time=28740, port=1, receive=0

time=28750, port=1, receive=0

time=28760, port=1, receive=1

time=28770, port=1, receive=1

time=28780, port=1, receive=0

time=28790, port=1, receive=0

time=28800, port=1, receive=1

time=28810, port=1, receive=0

time=28820, port=1, receive=0

time=28830, port=1, receive=0

time=28840, port=1, receive=1

time=28850, port=1, receive=1

time=28860, port=1, receive=0

time=28870, port=1, receive=1

time=28880, port=1, receive=0

time=28890, port=1, receive=0

time=28900, port=1, receive=0

time=28910, port=1, receive=0

time=28920, port=1, receive=0

time=28930, port=1, receive=1

time=28940, port=1, receive=0

time=28950, port=1, receive=1

time=28960, port=1, receive=0

time=28970, port=1, receive=0

time=28980, port=1, receive=0

time=28990, port=1, receive=0

time=29000, port=1, receive=0

time=29010, port=1, receive=0

time=29020, port=1, receive=1

time=29030, port=1, receive=1

time=29040, port=1, receive=0

time=29050, port=1, receive=0

time=29060, port=1, receive=1

time=29070, port=1, receive=1

time=29080, port=1, receive=0

time=29090, port=1, receive=0

time=29100, port=1, receive=1

time=29110, port=1, receive=0

time=29120, port=1, receive=0

time=29130, port=1, receive=0

time=29140, port=1, receive=1

time=29150, port=1, receive=1

time=29160, port=1, receive=1

time=29170, port=1, receive=1

time=29180, port=1, receive=0

time=29190, port=1, receive=0

time=29200, port=1, receive=1

time=29210, port=1, receive=0

time=29220, port=1, receive=0

time=29230, port=1, receive=0

time=29240, port=1, receive=0

time=29250, port=1, receive=1

time=29260, port=1, receive=1

time=29270, port=1, receive=1

time=29280, port=1, receive=1

time=29290, port=1, receive=1

time=29300, port=1, receive=1

time=29310, port=1, receive=1

time=29320, port=1, receive=0

time=29330, port=1, receive=0

time=29340, port=1, receive=0

time=29350, port=1, receive=0

time=29360, port=1, receive=1

time=29360, port=1, send=0, transmission=successfully

time=29370, port=1, receive=null, cause=data_ended

time=29370, port=1, send=0, transmission=successfully

time=29380, port=1, send=0, transmission=successfully

time=29390, port=1, send=0, transmission=successfully

time=29400, port=1, send=0, transmission=successfully

time=29410, port=1, send=0, transmission=successfully

time=29420, port=1, send=0, transmission=successfully

time=29430, port=1, send=0, transmission=successfully

time=29440, port=1, send=0, transmission=successfully

time=29450, port=1, send=0, transmission=successfully

time=29460, port=1, send=1, transmission=successfully

time=29470, port=1, send=1, transmission=successfully

time=29480, port=1, send=0, transmission=successfully

time=29490, port=1, send=0, transmission=successfully

time=29500, port=1, send=1, transmission=successfully

time=29510, port=1, send=1, transmission=successfully

time=29520, port=1, send=0, transmission=successfully

time=29530, port=1, send=0, transmission=successfully

time=29540, port=1, send=1, transmission=successfully

time=29550, port=1, send=0, transmission=successfully

time=29560, port=1, send=0, transmission=successfully

time=29570, port=1, send=0, transmission=successfully

time=29580, port=1, send=1, transmission=successfully

time=29590, port=1, send=0, transmission=successfully

time=29600, port=1, send=0, transmission=successfully

time=29610, port=1, send=0, transmission=successfully

time=29620, port=1, send=1, transmission=successfully

time=29630, port=1, send=1, transmission=successfully

time=29640, port=1, send=0, transmission=successfully

time=29650, port=1, send=0, transmission=successfully

time=29660, port=1, send=1, transmission=successfully

time=29670, port=1, send=1, transmission=successfully

time=29680, port=1, send=0, transmission=successfully

time=29690, port=1, send=0, transmission=successfully

time=29700, port=1, send=0, transmission=successfully

time=29710, port=1, send=0, transmission=successfully

time=29720, port=1, send=1, transmission=successfully

time=29730, port=1, send=0, transmission=successfully

time=29740, port=1, send=0, transmission=successfully

time=29750, port=1, send=0, transmission=successfully

time=29760, port=1, send=0, transmission=successfully

time=29770, port=1, send=0, transmission=successfully

time=29780, port=1, send=0, transmission=successfully

time=29790, port=1, send=0, transmission=successfully

time=29800, port=1, send=0, transmission=successfully

time=29810, port=1, send=0, transmission=successfully

time=29820, port=1, send=1, transmission=successfully

time=29830, port=1, send=0, transmission=successfully

time=29840, port=1, send=0, transmission=successfully

time=29850, port=1, send=0, transmission=successfully

time=29860, port=1, send=0, transmission=successfully

time=29870, port=1, send=0, transmission=successfully

time=29880, port=1, send=1, transmission=successfully

time=29890, port=1, send=0, transmission=successfully

time=29900, port=1, send=1, transmission=successfully

time=29910, port=1, send=0, transmission=successfully

time=29920, port=1, send=0, transmission=successfully

time=29930, port=1, send=0, transmission=successfully

time=29940, port=1, send=0, transmission=successfully

time=29950, port=1, send=1, transmission=successfully

time=29960, port=1, send=1, transmission=successfully

time=29970, port=1, send=0, transmission=successfully

time=29980, port=1, send=1, transmission=successfully

time=29990, port=1, send=1, transmission=successfully

time=30000, port=1, send=0, transmission=successfully

time=30010, port=1, send=0, transmission=successfully

time=30020, port=1, send=0, transmission=successfully

time=30030, port=1, send=1, transmission=successfully

time=30040, port=1, send=1, transmission=successfully

time=30050, port=1, send=0, transmission=successfully

time=30060, port=1, send=0, transmission=successfully

time=30070, port=1, send=1, transmission=successfully

time=30080, port=1, send=0, transmission=successfully

time=30090, port=1, send=0, transmission=successfully

time=30100, port=1, send=0, transmission=successfully

time=30110, port=1, send=1, transmission=successfully

