time=29360, host_ip=0.0.0.0, port=1, action=ARPQ

time=34860, host_ip=10.6.100.140, port=2, action=ARPR

time=47140, host_ip=0.0.0.0, port=2, action=ARPQ

time=52640, host_ip=10.6.100.122, port=1, action=ARPR

time=70690, host_ip=200.55.132.179, port=3, action=PONG

time=72300, host_ip=200.55.132.179, port=3, action=PONG

time=73910, host_ip=200.55.132.179, port=3, action=PONG

time=75520, host_ip=200.55.132.179, port=3, action=PONG

time=84880, host_ip=200.55.132.179, port=3, action=ARPR

