time=400, port=1, receive=1

time=410, port=1, receive=1

time=420, port=1, receive=1

time=430, port=1, receive=1

time=440, port=1, receive=1

time=450, port=1, receive=1

time=460, port=1, receive=1

time=470, port=1, receive=1

time=480, port=1, receive=1

time=490, port=1, receive=1

time=500, port=1, receive=1

time=510, port=1, receive=1

time=520, port=1, receive=1

time=530, port=1, receive=1

time=540, port=1, receive=1

time=550, port=1, receive=1

time=560, port=1, receive=1

time=570, port=1, receive=0

time=580, port=1, receive=1

time=590, port=1, receive=1

time=600, port=1, receive=1

time=610, port=1, receive=0

time=620, port=1, receive=1

time=630, port=1, receive=1

time=640, port=1, receive=0

time=650, port=1, receive=0

time=660, port=1, receive=0

time=670, port=1, receive=0

time=680, port=1, receive=0

time=690, port=1, receive=0

time=700, port=1, receive=0

time=710, port=1, receive=1

time=720, port=1, receive=0

time=730, port=1, receive=0

time=740, port=1, receive=0

time=750, port=1, receive=0

time=760, port=1, receive=1

time=770, port=1, receive=0

time=780, port=1, receive=0

time=790, port=1, receive=0

time=800, port=1, receive=0

time=810, port=1, receive=0

time=820, port=1, receive=0

time=830, port=1, receive=0

time=840, port=1, receive=0

time=850, port=1, receive=0

time=860, port=1, receive=1

time=870, port=1, receive=0

time=880, port=1, receive=0

time=890, port=1, receive=0

time=900, port=1, receive=0

time=910, port=1, receive=0

time=920, port=1, receive=1

time=930, port=1, receive=0

time=940, port=1, receive=1

time=950, port=1, receive=0

time=960, port=1, receive=0

time=970, port=1, receive=0

time=980, port=1, receive=0

time=990, port=1, receive=1

time=1000, port=1, receive=1

time=1010, port=1, receive=0

time=1020, port=1, receive=1

time=1030, port=1, receive=1

time=1040, port=1, receive=0

time=1050, port=1, receive=0

time=1060, port=1, receive=0

time=1070, port=1, receive=1

time=1080, port=1, receive=1

time=1090, port=1, receive=0

time=1100, port=1, receive=0

time=1110, port=1, receive=1

time=1120, port=1, receive=0

time=1130, port=1, receive=0

time=1140, port=1, receive=0

time=1150, port=1, receive=1

time=1160, port=1, receive=1

time=1170, port=1, receive=0

time=1180, port=1, receive=1

time=1190, port=1, receive=0

time=1200, port=1, receive=0

time=1210, port=1, receive=0

time=1220, port=1, receive=0

time=1230, port=1, receive=0

time=1240, port=1, receive=1

time=1250, port=1, receive=0

time=1260, port=1, receive=1

time=1270, port=1, receive=0

time=1280, port=1, receive=0

time=1290, port=1, receive=0

time=1300, port=1, receive=0

time=1310, port=1, receive=0

time=1320, port=1, receive=0

time=1330, port=1, receive=1

time=1340, port=1, receive=1

time=1350, port=1, receive=0

time=1360, port=1, receive=0

time=1370, port=1, receive=1

time=1380, port=1, receive=1

time=1390, port=1, receive=1

time=1400, port=1, receive=1

time=1410, port=1, receive=1

time=1420, port=1, receive=0

time=1430, port=1, receive=0

time=1440, port=1, receive=0

time=1450, port=1, receive=0

time=1460, port=1, receive=1

time=1470, port=1, receive=1

time=1480, port=1, receive=1

time=1490, port=1, receive=1

time=1500, port=1, receive=0

time=1510, port=1, receive=0

time=1520, port=1, receive=1

time=1530, port=1, receive=0

time=1540, port=1, receive=0

time=1550, port=1, receive=1

time=1560, port=1, receive=1

time=1570, port=1, receive=1

time=1580, port=1, receive=0

time=1590, port=1, receive=1

time=1600, port=1, receive=0

time=1610, port=1, receive=1

time=1620, port=1, receive=0

time=1630, port=1, receive=1

time=1640, port=1, receive=1

time=1650, port=1, receive=0

time=1660, port=1, receive=1

time=1670, port=1, receive=0

time=1670, port=1, send=1, transmission==incomplete, cause=collision

time=1670, port=1, send=1, transmission==incomplete, cause=collision

time=1680, port=1, receive=null, cause=data_ended

time=1680, port=1, send=1, transmission=successfully

time=1690, port=1, send=0, transmission=successfully

time=1700, port=1, send=1, transmission=successfully

time=1710, port=1, send=1, transmission=successfully

time=1720, port=1, send=1, transmission=successfully

time=1730, port=1, send=0, transmission=successfully

time=1740, port=1, send=1, transmission=successfully

time=1750, port=1, send=1, transmission=successfully

time=1760, port=1, send=0, transmission=successfully

time=1770, port=1, send=0, transmission=successfully

time=1780, port=1, send=0, transmission=successfully

time=1790, port=1, send=0, transmission=successfully

time=1800, port=1, send=0, transmission=successfully

time=1810, port=1, send=0, transmission=successfully

time=1820, port=1, send=0, transmission=successfully

time=1830, port=1, send=1, transmission=successfully

time=1840, port=1, send=1, transmission=successfully

time=1850, port=1, send=0, transmission=successfully

time=1860, port=1, send=1, transmission=successfully

time=1870, port=1, send=1, transmission=successfully

time=1880, port=1, send=1, transmission=successfully

time=1890, port=1, send=0, transmission=successfully

time=1900, port=1, send=1, transmission=successfully

time=1910, port=1, send=1, transmission=successfully

time=1920, port=1, send=0, transmission=successfully

time=1930, port=1, send=0, transmission=successfully

time=1940, port=1, send=0, transmission=successfully

time=1950, port=1, send=0, transmission=successfully

time=1960, port=1, send=0, transmission=successfully

time=1970, port=1, send=0, transmission=successfully

time=1980, port=1, send=1, transmission=successfully

time=1990, port=1, send=0, transmission=successfully

time=2000, port=1, send=0, transmission=successfully

time=2010, port=1, send=0, transmission=successfully

time=2020, port=1, send=0, transmission=successfully

time=2030, port=1, send=0, transmission=successfully

time=2040, port=1, send=1, transmission=successfully

time=2050, port=1, send=0, transmission=successfully

time=2060, port=1, send=0, transmission=successfully

time=2070, port=1, send=0, transmission=successfully

time=2080, port=1, send=0, transmission=successfully

time=2090, port=1, send=0, transmission=successfully

time=2100, port=1, send=0, transmission=successfully

time=2110, port=1, send=0, transmission=successfully

time=2120, port=1, send=0, transmission=successfully

time=2130, port=1, send=0, transmission=successfully

time=2140, port=1, send=1, transmission=successfully

time=2150, port=1, send=0, transmission=successfully

time=2160, port=1, send=0, transmission=successfully

time=2170, port=1, send=0, transmission=successfully

time=2180, port=1, send=0, transmission=successfully

time=2190, port=1, send=0, transmission=successfully

time=2200, port=1, send=1, transmission=successfully

time=2210, port=1, send=0, transmission=successfully

time=2220, port=1, send=1, transmission=successfully

time=2230, port=1, send=0, transmission=successfully

time=2240, port=1, send=0, transmission=successfully

time=2250, port=1, send=0, transmission=successfully

time=2260, port=1, send=0, transmission=successfully

time=2270, port=1, send=1, transmission=successfully

time=2280, port=1, send=1, transmission=successfully

time=2290, port=1, send=0, transmission=successfully

time=2300, port=1, send=1, transmission=successfully

time=2310, port=1, send=1, transmission=successfully

time=2320, port=1, send=0, transmission=successfully

time=2330, port=1, send=0, transmission=successfully

time=2340, port=1, send=0, transmission=successfully

time=2350, port=1, send=1, transmission=successfully

time=2360, port=1, send=1, transmission=successfully

time=2370, port=1, send=0, transmission=successfully

time=2380, port=1, send=0, transmission=successfully

time=2390, port=1, send=1, transmission=successfully

time=2400, port=1, send=0, transmission=successfully

time=2410, port=1, send=0, transmission=successfully

time=2420, port=1, send=0, transmission=successfully

time=2430, port=1, send=1, transmission=successfully

time=2440, port=1, send=1, transmission=successfully

time=2450, port=1, send=0, transmission=successfully

time=2460, port=1, send=1, transmission=successfully

time=2470, port=1, send=1, transmission=successfully

time=2480, port=1, send=0, transmission=successfully

time=2490, port=1, send=0, transmission=successfully

time=2500, port=1, send=0, transmission=successfully

time=2510, port=1, send=0, transmission=successfully

time=2520, port=1, send=1, transmission=successfully

time=2530, port=1, send=0, transmission=successfully

time=2540, port=1, send=1, transmission=successfully

time=2550, port=1, send=0, transmission=successfully

time=2560, port=1, send=0, transmission=successfully

time=2570, port=1, send=0, transmission=successfully

time=2580, port=1, send=0, transmission=successfully

time=2590, port=1, send=0, transmission=successfully

time=2600, port=1, send=0, transmission=successfully

time=2610, port=1, send=1, transmission=successfully

time=2620, port=1, send=1, transmission=successfully

time=2630, port=1, send=0, transmission=successfully

time=2640, port=1, send=0, transmission=successfully

time=2650, port=1, send=1, transmission=successfully

time=2660, port=1, send=1, transmission=successfully

time=2670, port=1, send=1, transmission=successfully

time=2680, port=1, send=1, transmission=successfully

time=2690, port=1, send=1, transmission=successfully

time=2700, port=1, send=0, transmission=successfully

time=2710, port=1, send=0, transmission=successfully

time=2720, port=1, send=0, transmission=successfully

time=2730, port=1, send=0, transmission=successfully

time=2740, port=1, send=1, transmission=successfully

time=2750, port=1, send=1, transmission=successfully

time=2760, port=1, send=1, transmission=successfully

time=2770, port=1, send=1, transmission=successfully

time=2780, port=1, send=0, transmission=successfully

time=2790, port=1, send=0, transmission=successfully

time=2800, port=1, send=0, transmission=successfully

time=2810, port=1, send=0, transmission=successfully

time=2820, port=1, send=1, transmission=successfully

time=2830, port=1, send=1, transmission=successfully

time=2840, port=1, send=0, transmission=successfully

time=2850, port=1, send=1, transmission=successfully

time=2860, port=1, send=1, transmission=successfully

time=2870, port=1, send=1, transmission=successfully

time=2880, port=1, send=0, transmission=successfully

time=2890, port=1, send=0, transmission=successfully

time=2900, port=1, send=0, transmission=successfully

time=2910, port=1, send=0, transmission=successfully

time=2920, port=1, send=1, transmission=successfully

time=2930, port=1, send=0, transmission=successfully

time=2940, port=1, send=1, transmission=successfully

time=2950, port=1, send=1, transmission=successfully

time=2960, port=1, send=null, cause=data_ended, transmission=successfully

time=2970, port=1, receive=1

time=2980, port=1, receive=0

time=2990, port=1, receive=1

time=3000, port=1, receive=1

time=3010, port=1, receive=1

time=3020, port=1, receive=0

time=3030, port=1, receive=1

time=3040, port=1, receive=1

time=3050, port=1, receive=0

time=3060, port=1, receive=0

time=3070, port=1, receive=0

time=3080, port=1, receive=0

