time=14000, port=1, send=1, transmission=successfully

time=14010, port=1, send=1, transmission=successfully

time=14020, port=1, send=1, transmission=successfully

time=14030, port=1, send=1, transmission=successfully

time=14040, port=1, send=1, transmission=successfully

time=14050, port=1, send=1, transmission=successfully

time=14060, port=1, send=1, transmission=successfully

time=14070, port=1, send=1, transmission=successfully

time=14080, port=1, send=1, transmission=successfully

time=14090, port=1, send=1, transmission=successfully

time=14100, port=1, send=1, transmission=successfully

time=14110, port=1, send=1, transmission=successfully

time=14120, port=1, send=1, transmission=successfully

time=14130, port=1, send=1, transmission=successfully

time=14140, port=1, send=1, transmission=successfully

time=14150, port=1, send=1, transmission=successfully

time=14160, port=1, send=1, transmission=successfully

time=14170, port=1, send=0, transmission=successfully

time=14180, port=1, send=1, transmission=successfully

time=14190, port=1, send=0, transmission=successfully

time=14200, port=1, send=1, transmission=successfully

time=14210, port=1, send=0, transmission=successfully

time=14220, port=1, send=1, transmission=successfully

time=14230, port=1, send=0, transmission=successfully

time=14240, port=1, send=0, transmission=successfully

time=14250, port=1, send=0, transmission=successfully

time=14260, port=1, send=0, transmission=successfully

time=14270, port=1, send=0, transmission=successfully

time=14280, port=1, send=0, transmission=successfully

time=14290, port=1, send=1, transmission=successfully

time=14300, port=1, send=0, transmission=successfully

time=14310, port=1, send=0, transmission=successfully

time=14320, port=1, send=0, transmission=successfully

time=14330, port=1, send=0, transmission=successfully

time=14340, port=1, send=0, transmission=successfully

time=14350, port=1, send=0, transmission=successfully

time=14360, port=1, send=1, transmission=successfully

time=14370, port=1, send=0, transmission=successfully

time=14380, port=1, send=0, transmission=successfully

time=14390, port=1, send=0, transmission=successfully

time=14400, port=1, send=0, transmission=successfully

time=14410, port=1, send=0, transmission=successfully

time=14420, port=1, send=0, transmission=successfully

time=14430, port=1, send=0, transmission=successfully

time=14440, port=1, send=0, transmission=successfully

time=14450, port=1, send=0, transmission=successfully

time=14460, port=1, send=1, transmission=successfully

time=14470, port=1, send=0, transmission=successfully

time=14480, port=1, send=0, transmission=successfully

time=14490, port=1, send=0, transmission=successfully

time=14500, port=1, send=0, transmission=successfully

time=14510, port=1, send=0, transmission=successfully

time=14520, port=1, send=1, transmission=successfully

time=14530, port=1, send=0, transmission=successfully

time=14540, port=1, send=1, transmission=successfully

time=14550, port=1, send=0, transmission=successfully

time=14560, port=1, send=0, transmission=successfully

time=14570, port=1, send=0, transmission=successfully

time=14580, port=1, send=0, transmission=successfully

time=14590, port=1, send=1, transmission=successfully

time=14600, port=1, send=1, transmission=successfully

time=14610, port=1, send=0, transmission=successfully

time=14620, port=1, send=1, transmission=successfully

time=14630, port=1, send=1, transmission=successfully

time=14640, port=1, send=0, transmission=successfully

time=14650, port=1, send=0, transmission=successfully

time=14660, port=1, send=0, transmission=successfully

time=14670, port=1, send=1, transmission=successfully

time=14680, port=1, send=1, transmission=successfully

time=14690, port=1, send=0, transmission=successfully

time=14700, port=1, send=0, transmission=successfully

time=14710, port=1, send=1, transmission=successfully

time=14720, port=1, send=0, transmission=successfully

time=14730, port=1, send=0, transmission=successfully

time=14740, port=1, send=0, transmission=successfully

time=14750, port=1, send=1, transmission=successfully

time=14760, port=1, send=1, transmission=successfully

time=14770, port=1, send=0, transmission=successfully

time=14780, port=1, send=1, transmission=successfully

time=14790, port=1, send=0, transmission=successfully

time=14800, port=1, send=0, transmission=successfully

time=14810, port=1, send=0, transmission=successfully

time=14820, port=1, send=0, transmission=successfully

time=14830, port=1, send=0, transmission=successfully

time=14840, port=1, send=1, transmission=successfully

time=14850, port=1, send=0, transmission=successfully

time=14860, port=1, send=1, transmission=successfully

time=14870, port=1, send=0, transmission=successfully

time=14880, port=1, send=0, transmission=successfully

time=14890, port=1, send=0, transmission=successfully

time=14900, port=1, send=0, transmission=successfully

time=14910, port=1, send=0, transmission=successfully

time=14920, port=1, send=0, transmission=successfully

time=14930, port=1, send=1, transmission=successfully

time=14940, port=1, send=1, transmission=successfully

time=14950, port=1, send=0, transmission=successfully

time=14960, port=1, send=0, transmission=successfully

time=14970, port=1, send=1, transmission=successfully

time=14980, port=1, send=1, transmission=successfully

time=14990, port=1, send=1, transmission=successfully

time=15000, port=1, send=1, transmission=successfully

time=15010, port=1, send=0, transmission=successfully

